,Country,Level 1 Government,Level 2 Government,Bridge Name,Project Code,B2P Fiscal Year,Stage,Individuals Directly Served,GPS (Latitude),GPS (Longitude),Bridge Type,Span (m),Project Type
0,Uganda,Eastern Region,Mbale,Kama,UG101,2018,Complete,5280.0,1.11633,34.25246,Suspended Bridge,90.0,B2P Built
1,Swaziland,,,Mbluzi-Myendle,GO108,2017,Complete,4000.0,-26.29412,31.27124,Suspended Bridge,73.0,B2P Supported
2,Panama,Ngäbe-Buglé,,Llano Bonito,PA122,2017,Complete,1500.0,8.446314,-81.365675,Suspended Bridge,79.0,B2P Supported
3,Nicaragua,Jinotega,Santa María de Pantasma,Puente San Vicente N°1,1008677,2018,Complete,4000.0,13.435012,-85.7838,Suspension Bridge,67.8,B2P Built
4,Nicaragua,Matagalpa,Río Blanco,La Guitarrilla,1008691,2018,Complete,4000.0,13.122785,-85.236833,Suspension Bridge,77.5,B2P Built
5,Panama,Ngäbe-Buglé,Müna District,Alto Saldaña,1008543,2018,Complete,,8.339315,-81.674108,Suspended Bridge,72.0,B2P Supported
6,Panama,Coclé,Penonomé District,Banacito,1008489,2018,Complete,,8.809012,-80.338959,Suspension Bridge,106.0,B2P Built
7,Panama,Ngäbe-Buglé,Ñürüm District,El Paredón,1008531,2018,Complete,1400.0,8.448444,-81.198556,Suspension Bridge,35.0,B2P Built
8,Bolivia,Cochabamba,Chapare,Espíritu Santo,1009257,2019,Complete,1400.0,-17.01330278,-65.54801389,Suspended Bridge,132.0,B2P Built
9,Nicaragua,Jinotega,Jinotega,Los Cerrones #4,1009328,2018,Complete,5000.0,13.30401,-85.78777,Suspension Bridge,52.0,B2P Built
10,Rwanda,Southern Province,Nyaruguru,Ruharazi,1009311,2019,Complete,4959.0,-2.77676167,29.62627167,Suspended Bridge,45.0,B2P Built
11,Bolivia,Cochabamba,Tapacarí,Machacamarca,1009318,2018,Complete,2400.0,-17.54093889,-66.80262778,Suspended Bridge,53.0,B2P Built
12,Rwanda,Southern Province,Muhanga,Rukurazo,1009445,2020,Under Construction,1210.0,-2.114778,29.700594,Suspension Bridge,49.0,B2P Built
13,Bolivia,Cochabamba,Narciso Campero,Pabellon,BO130,2017,Complete,210.0,-18.296267,-65.25315,Suspended Bridge,35.0,B2P Built
14,Bolivia,Cochabamba,Chapare,Misión Mayu,1007320,2018,Complete,700.0,-17.03405,-65.98568333,Suspended Bridge,90.0,B2P Built
15,Bolivia,La Paz,Abel Iturralde,Capaina,1007321,2018,Complete,175.0,-14.40317,-67.564314,Suspended Bridge,40.0,B2P Built
16,Nicaragua,Región Autónoma de la Costa Caribe Norte,Waslala,El Naranjo,1002669,2018,Complete,5235.0,13.58125,-85.19765,Suspended Bridge,90.0,B2P Built
17,Uganda,Eastern Region,Sironko,Kibembe,1008734,2019,Complete,1791.0,1.2043,34.28912,Suspension Bridge,75.0,B2P Built
18,Uganda,Eastern Region,Manafwa,Tongole,1008762,2019,Complete,,1.937883,34.2691,Suspension Bridge,74.8,B2P Built
19,Uganda,Eastern Region,Bududa,Namakhokolo,1008776,2018,Complete,,0.978583,34.280483,Suspended Bridge,90.0,B2P Built
20,Uganda,Eastern Region,Bududa,Namawukulu,1008780,2018,Complete,,1.004485,34.4016731,Suspended Bridge,70.0,B2P Built
21,Rwanda,Southern Province,Nyaruguru,Kucyaruseke,RW127,2018,Complete,,-2.711764,29.557267,Suspended Bridge,79.0,B2P Built
22,Panama,Veraguas,Santa Fe District,El Macho,1007928,2018,Complete,253.0,8.003004,-81.438333,Suspension Bridge,30.0,B2P Built
23,Panama,Veraguas,San Francisco District,Los Cruces - Palmarito,1007945,2018,Complete,,8.292049,-81.102752,Suspension Bridge,88.0,B2P Built
24,Haiti,Grand'Anse,Jérémie,Chambellan,HT109,2017,Complete,30000.0,18.550083,-74.299444,Suspension Bridge,83.5,B2P Built
25,Bolivia,Chuquisaca,Azurduy,Tarvita,1009063,2018,Complete,600.0,-19.92513611,-64.48539167,Suspended Bridge,40.5,B2P Built
26,Haiti,Grand'Anse,Jérémie,Chameau,HT110,2017,Complete,45000.0,18.547792,-74.2586,Suspension Bridge,107.0,B2P Built
27,Rwanda,Southern Province,Nyamagabe,Rugeti,1007466,2020,Under Construction,4363.0,-2.473144,29.424983,Suspension Bridge,68.0,B2P Built
28,Rwanda,Southern Province,Huye,Karambi,1007374,2019,Complete,12500.0,-2.513333,29.612778,Suspension Bridge,50.0,B2P Built
29,Rwanda,Southern Province,Nyanza,Rugwa,1007525,2019,Complete,2015.0,-2.33,29.668889,Suspended Bridge,48.0,B2P Built
30,Rwanda,Kigali,Nyarugenge,Gatare,1007530,2019,Complete,2704.0,-1.94222222,30.03388889,Suspended Bridge,37.0,B2P Built
31,Rwanda,Southern Province,Nyaruguru,Rukarakara,1007535,2019,Complete,11283.0,-2.7761,29.464528,Suspended Bridge,58.0,B2P Built
32,Rwanda,Southern Province,Nyaruguru,Kabere,1007539,2019,Complete,6335.0,-2.697944,29.446917,Suspended Bridge,63.0,B2P Built
33,Rwanda,Southern Province,Nyanza,Uwarukara,1007506,2019,Complete,7000.0,-2.308722,29.604778,Suspension Bridge,70.0,B2P Built
34,Rwanda,Southern Province,Nyaruguru,Mutovu,1007569,2018,Complete,6000.0,-2.682306,29.481194,Suspension Bridge,45.0,B2P Built
35,Rwanda,Western Province,Nyamasheke,Kagarama,1007325,2018,Complete,,-2.322534,29.141944,Suspension Bridge,48.0,B2P Built
36,Rwanda,Southern Province,Ruhango,Gasyogogo,1007609,2019,Complete,2685.0,-2.161944,29.665556,Suspended Bridge,31.0,B2P Built
37,Nicaragua,Matagalpa,Matiguás,La Patriota - El Guabo,1009264,2018,Complete,2800.0,12.980534,-85.360809,Suspension Bridge,73.0,B2P Built
38,Bolivia,Chuquisaca,Azurduy,Duraznal,1009297,2018,Complete,550.0,-20.419044444,-64.40885556,Suspended Bridge,54.0,B2P Built
39,Nicaragua,Jinotega,San Sebastián de Yalí,Santa Maria,1009531,2018,Complete,10000.0,13.37444,-86.08694,Suspension Bridge,82.9,B2P Built
