,Country,"Rural Access (Year Varies)
Index",Rural % of Total Population (2018),Total Rural Population (2018),"Rural Population without Access (2018 Population, Varying RAI Year)",Human Development Index (2019)
0,Afghanistan,0.22,0.74505,27695286.0,21602323.08,0.49595952280148353
1,Albania,0.31,0.39681,1137407.0,784810.8300000001,0.7914058761795368
2,Algeria,0.59,0.27370999999999995,11558343.0,4738920.630000001,0.7589776967062342
3,American Samoa,,0.12846999999999995,7126.0,,
4,Andorra,,0.11938000000000003,9193.0,,0.8567813450249088
5,Angola,0.42,0.34486000000000006,10625055.0,6162531.9,0.574487757656951
6,Antigua and Barbuda,,0.75401,72601.0,,0.7761631512134778
7,Argentina,0.77,0.08130000000000001,3617403.0,832002.69,0.8300958121179323
8,Armenia,0.66,0.36851,1087759.0,369838.05999999994,0.7600108864738313
9,Aruba,,0.56589,59897.0,,
10,Australia,,0.13988,3495933.0,,0.9383785524041984
11,Austria,0.95,0.41703,3689480.0,184474.0,0.913808548217478
12,Azerbaijan,0.67,0.4432,4406442.0,1454125.8599999999,0.7538686607357497
13,"Bahamas, The",0.82,0.16975,65462.0,11783.160000000003,0.805483273566233
14,Bahrain,0.99,0.10712999999999993,168134.0,1681.3399999999965,0.837770190229584
15,Bangladesh,0.867,0.63368,102248095.0,13598996.635000005,0.6136793374046089
16,Barbados,1.0,0.6885300000000001,197361.0,0.0,0.8133104892649938
17,Belarus,0.64,0.21405000000000002,2030347.0,730924.9199999999,0.817067987091786
18,Belgium,1.0,0.019989999999999952,228327.0,0.0,0.9188411969105712
19,Belize,0.78,0.54276,207916.0,45741.51999999999,0.7201697870363517
20,Benin,0.32,0.52688,6051242.0,4114844.56,0.5198341650012255
21,Bermuda,,0.0,0.0,,
22,Bhutan,0.47,0.59105,445885.0,236319.05000000002,0.6172987522817193
23,Bolivia,0.48,0.30574999999999997,3471223.0,1805035.96,0.7028423532223933
24,Bosnia and Herzegovina,0.81,0.5175500000000001,1720299.0,326856.8099999998,0.7691872753166943
25,Botswana,0.79,0.30554000000000003,688726.0,144632.45999999996,0.727787113644473
26,Brazil,0.53,0.13430999999999998,28133826.0,13222898.219999999,0.7611528228246094
27,Brunei Darussalam,0.81,0.22370999999999996,95963.0,18232.97,0.8445869345365538
28,Bulgaria,0.98,0.24992000000000003,1755492.0,35109.840000000084,0.8157107862209694
29,Burkina Faso,0.25,0.7064199999999999,13952879.0,10464659.25,0.4335470487847296
30,Burundi,0.249,0.86968,9719003.0,7298971.2530000005,0.42288159819476784
31,Cambodia,0.81,0.7661199999999999,12449295.0,2365366.049999999,0.5814849802506846
32,Cameroon,0.2,0.43626,11000836.0,8800668.8,0.5627253140543881
33,Canada,,0.18589,6888871.0,,0.9221113093449915
34,Cape Verde,0.82,,,,
35,Cayman Islands,,0.0,0.0,,
36,Central African Republic,,0.58636,2736177.0,,0.3806621111313304
37,Chad,0.05,0.76941,11908736.0,11313299.2,0.4011759682854399
38,Channel Islands,,0.69086,117791.0,,
39,Chile,0.76,0.12436000000000007,2329158.0,558997.9199999999,0.8469479816941982
40,China,0.97,0.40848,568902350.0,17067070.5,0.7575874287488232
41,Colombia,0.78,0.19221999999999995,9543470.0,2099563.3999999994,0.7608949309266484
42,Comoros,0.73,0.7103499999999999,591240.0,159634.8,0.5378256561649433
43,"Congo, Dem. Rep.",0.26,0.5554,46691418.0,34551649.32,0.4587300707355282
44,"Congo, Rep.",0.48,0.33084,1735045.0,902223.4,0.608499599934289
45,Costa Rica,0.82,0.2066,1032885.0,185919.30000000005,0.7935199463786676
46,Cote d'Ivoire,0.56,0.49221,12339325.0,5429302.999999999,0.5157471284038921
47,Croatia,0.84,0.43052999999999997,1760609.0,281697.43999999994,0.8373133194117741
48,Cuba,0.81,0.22962999999999995,2603577.0,494679.6299999999,0.7777145085775056
49,Cyprus,0.89,0.3319,394717.0,43418.869999999995,0.872955393887627
50,Czechia,0.97,0.26208,2784782.0,83543.45999999996,0.8907546579335381
51,Denmark,0.99,0.12126000000000005,702998.0,7029.979999999981,0.9299461150555088
52,Djibouti,0.81,0.22222999999999998,213101.0,40489.19,0.4954332595479523
53,Dominica,0.88,0.29516999999999993,21142.0,2537.040000000001,0.7237880287558943
54,Dominican Republic,0.62,0.18926,2011297.0,764292.8600000001,0.7446407423080836
55,Ecuador,0.73,0.36179,6180950.0,1668856.5,0.757916350872878
56,"Egypt, Arab Rep.",0.77,0.57296,56392783.0,12970340.089999996,0.699726797920563
57,El Salvador,0.64,0.27977,1796332.0,646679.52,0.6666810183016703
58,Equatorial Guinea,0.53,0.27857,364641.0,171381.27,0.5884216446867686
59,Eritrea,0.29,0.0,0.0,0.0,0.4335796204231948
60,Estonia,0.86,0.31120000000000003,411059.0,57548.26000000001,0.8815422978950281
61,Ethiopia,0.216,0.7923699999999999,86546264.0,67852270.976,0.4698496253405611
62,Faeroe Islands,,,,,
63,Fiji,0.76,0.43752,386541.0,92769.84000000003,0.7236988694200227
64,Finland,0.82,0.14617999999999995,806629.0,145193.2200000001,0.9251917244683008
65,France,0.99,0.19555999999999998,13100025.0,131000.25,0.8910567777248105
66,French Polynesia,,0.38165999999999994,105979.0,,
67,Gabon,0.45,0.1063,225279.0,123903.45,0.7016252661477533
68,"Gambia, The",0.77,0.3873,883084.0,203109.31999999995,0.4657249013527874
69,Georgia,0.82,0.41368000000000005,1543440.0,277819.2000000002,0.7863590918977229
70,Germany,0.89,0.22688000000000003,18814687.0,2069615.5700000003,0.9387847060566997
71,Ghana,0.61,0.43939999999999996,13079667.0,5101070.13,0.5956697164751565
72,Greece,0.9,0.20941999999999994,2246588.0,224658.80000000005,0.8719521259263978
73,Greenland,,0.13183999999999998,7386.0,,
74,Grenada,0.98,0.6372800000000001,71027.0,1420.5400000000081,0.763383380917163
75,Guam,,0.052199999999999996,8653.0,,
76,Guatemala,0.55,0.48946,8442112.0,3798950.3999999994,0.6510353371839624
77,Guinea,0.22,0.6386,7927783.0,6183670.74,0.46551500062169854
78,Guinea-Bissau,0.52,0.5664,1061609.0,509572.31999999995,0.46140600072244514
79,Guyana,0.46,0.73394,571742.0,308740.68,0.6702960964531388
80,Haiti,0.28,0.44722,4974507.0,3581645.04,0.5027313745517944
81,Honduras,0.4,0.42904000000000003,4113430.0,2468058.0,0.6229814710609647
82,"Hong Kong, China",,,,,0.9388091495938403
83,Hungary,0.98,0.28649,2798659.0,55973.18000000017,0.8446999355453134
84,Iceland,0.81,0.061869999999999974,21876.0,4156.439999999999,0.9384738750453867
85,India,0.61,0.6597,892321651.0,348005443.89,0.6469010999226564
86,Indonesia,0.94,0.44675,119578640.0,7174718.400000006,0.706857949708208
87,"Iran, Islamic Rep.",0.66,0.25102,20533504.0,6981391.359999999,
88,Iraq,0.634,0.29527000000000003,11348289.0,4153473.774,0.6887840736628051
89,Ireland,0.93,0.36829999999999996,1787546.0,125128.21999999997,0.9424728207975246
90,Isle of Man,,0.47412,39863.0,,
91,Israel,0.88,0.07581999999999994,673570.0,80828.40000000002,0.9062349434905423
92,Italy,0.98,0.29562,17864696.0,357293.9200000018,0.882583978567803
93,Jamaica,0.93,0.44326,1300904.0,91063.28000000003,0.7256793639847112
94,Japan,0.99,0.08384,10608200.0,106082.0,0.9146963762009753
95,Jordan,0.714,0.09021000000000001,898132.0,256865.75199999998,0.7234451203910152
96,Kazakhstan,0.77,0.42572000000000004,7780671.0,1789554.33,0.8172438488404485
97,Kenya,0.44,0.7297,37501479.0,21000828.240000002,0.5785877280147006
98,Kiribati,,0.45943,53224.0,,0.6232437585849168
99,"Korea, Dem. Rep.",0.44,,,,
100,"Korea, Rep.",0.89,0.18540999999999996,9573693.0,1053106.2300000004,0.9058318880274264
101,Kuwait,0.82,0.0,0.0,0.0,0.8083524345100858
102,Kyrgyz Republic,0.76,0.63649,4019944.0,964786.56,0.6742028297500703
103,Lao PDR,0.64,0.6499600000000001,4589697.0,1652290.92,0.6040693218590478
104,Latvia,0.9,0.31858000000000003,613758.0,61375.79999999993,0.8539015185797694
105,Lebanon,0.926,0.11406999999999996,781257.0,57813.01799999992,0.7300778911417805
106,Lesotho,0.18,0.71847,1514630.0,1241996.6,0.5179548795748672
107,Liberia,0.419,0.48849,2354022.0,1367686.7820000001,0.4647203189544081
108,Libya,0.78,0.19897999999999996,1328901.0,292358.22,0.7075679742061223
109,Liechtenstein,,0.85662,32474.0,,0.9167243531731516
110,Lithuania,0.97,0.32321,901605.0,27048.150000000023,0.869307679134763
111,Luxembourg,,0.09019000000000005,54811.0,,0.9087199366384889
112,"Macao, China",,,,,
113,"Macedonia, FYR",0.78,,,,
114,Madagascar,0.114,0.6280899999999999,16495131.0,14614686.066,0.5206973589305919
115,Malawi,0.231,0.83063,15070382.0,11589123.758,0.4854001863467665
116,Malaysia,0.82,0.23964,7555510.0,1359991.8000000007,0.8041858477966396
117,Maldives,,0.60192,310408.0,,0.7187070781143381
118,Mali,0.223,0.57644,10997144.0,8544780.888,0.4272062437268427
119,Malta,1.0,0.05388000000000005,26053.0,0.0,0.8852656831224471
120,Marshall Islands,,0.22968999999999995,13417.0,,0.6975892839542243
121,Mauritania,0.31,0.46328,2039970.0,1407579.3,0.5270571396314189
122,Mauritius,0.7,0.59207,749148.0,224744.40000000002,0.7964062124477623
123,Mayotte,,,,,
124,Mexico,0.61,0.19843999999999995,25041300.0,9766107.0,0.767447245379146
125,"Micronesia, Fed. Sts.",0.82,0.7729699999999999,87067.0,15672.059999999998,0.6141578090715261
126,Moldova,0.66,0.57371,2034309.0,691665.0599999998,0.7114515862161153
127,Monaco,,0.0,0.0,,
128,Mongolia,0.36,0.31555,1000359.0,640229.76,0.7346839972298712
129,Morocco,0.36,0.37546999999999997,13527860.0,8657830.4,0.6764393349141735
130,Mozambique,0.204,0.64012,18880955.0,15029240.18,0.4460446809922152
131,Myanmar,0.23,0.6942099999999999,37284905.0,28709376.85,0.5842521961350456
132,Namibia,0.57,0.49968,1223344.0,526037.92,0.6450373740217608
133,Nepal,0.867,0.8026000000000001,22543325.0,2998262.2250000015,0.5794852697737836
134,Netherlands,1.0,0.0851,1466360.0,0.0,0.9334946999612731
